category      count  postdate    writer       title                                                                                                 summary                                                                                                                                                                                                link
----------  -------  ----------  -----------  ----------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------
good           4530  2018.10.12  뉴스1        [국감]백종원 '국정감사도 웃으며'                                                                      (서울=뉴스1) 임세영 기자 = 백종원 더본코리아 대표가 12일 서울 여의도 국회에서 열린 산업통상자원중소벤…                                                                                                 /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003634504
good           2759  2018.10.12  경향신문     문 대통령 “종전선언, 시기의 문제일 뿐 반드시 될 것”                                                   문재인 대통령은 12일 “종전선언은 시기의 문제일 뿐, 반드시 될 것이라고 믿는다”고 말했다.문 대통령은 이날 오전 유럽 순방을 앞두고 청와대에서 영…                                                         /main/ranking/read.nhn?rankingType=popular_like&oid=032&aid=0002898734
good           2047  2018.10.12  뉴스1        文대통령, 내일 유럽순방…키워드는 'BTS·교황·아셈'                                                      문재인 대통령과 김정숙 여사.2018.3.22/뉴스1 © News1 이재명 기자(서울=뉴스1) 조소영 기자 = 문재인 대통령이 13일부터 21일까지 7박9일간 유럽 5…                                                           /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003634530
good           1842  2018.10.12  뉴시스       영국 BBC 인터뷰에 풍산개 곰이-송강이 소개하는 문 대통령                                               【서울=뉴시스】전신 기자 = 문재인 대통령이 12일 청와대에서 영국 BBC와 인터뷰하며 풍산개 곰이와 송강이를 소개하고 있다. 2018.10.12. (사진=청…                                                           /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008851806
good           1752  2018.10.12  동아일보     [단독]美, 한국 은행들에 ‘北제재 준수’ 경고 보냈다                                                     [동아일보]美 재무부 對北제재담당 고위관료, 남북 평양선언 직후 6, 7곳 접촉농협 금강산 지점 재개 등 캐물어… 수차례 “너무 앞서가지 말라” 단속도…                                                          /main/ranking/read.nhn?rankingType=popular_like&oid=020&aid=0003174224
good           1356  2018.10.12  뉴시스       [속보]文대통령 "종전선언, 시기 문제일 뿐 반드시 될 것"                                                【서울=뉴시스】▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재…                                                                /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008851839
good            649  2018.10.12  뉴시스       文대통령 "北 NLL 인정, 굉장한 대전환···분쟁수역을 평화수역으로"                                       【서울=뉴시스】전신 기자 = 문재인 대통령이 12일 청와대 본관 충무실에서 열린 군 장성 진급 및 보직 신고에서 거수경례하고 있다. 2018.10.11. pho…                                                          /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008850951
good            601  2018.10.12  뉴스1        박상기 장관 "강정마을 지금은 사면 대상 삼을 수 없다"(종합)                                            박상기 법무부 장관이 12일 오전 경기 과천시 법무부청사에서 열린 국회 법제사법위원회의 법무부, 대한법률구조공단, 한국법무보호복지공단 등에 대한…                                                         /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003634191
good            548  2018.10.12  연합뉴스     문대통령 "NLL 피로 지켜와…피 흘리지 않고 지킨다면 더 가치"                                            합참의장 보직신고식서 언급…"남북, NLL 평화수역화해 공동어로작업""北이 NLL 인정하고 평화수역화한 것은 굉장한 대전환""남북 공동조업으로 어…                                                              /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010395554
